CODE*COMPLETO*DESCRIPCION1*DESCRIPCION2
M1A3711*1*Chronic gout due to renal impairment, right ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie derechos, con tofos (tofos)
Z623*1*Hostility towards and scapegoating of child*Hostilidad y chivo expiatorio del niño
Z626*1*Inappropriate (excessive) parental pressure*Presión parental inapropiada (excesiva)
Z628*0*Other specified problems related to upbringing*Otros problemas específicos relacionados con la crianza
Z6281*0*Personal history of abuse in childhood*Historia personal de abuso en la niñez
Z62810*1*Personal history of physical and sexual abuse in childhood*Historia personal de abuso físico y sexual en la niñez
Z62811*1*Personal history of psychological abuse in childhood*Historia personal de abuso psicológico en la infancia
Z62812*1*Personal history of neglect in childhood*Historia personal de negligencia en la niñez
Z62819*1*Personal history of unspecified abuse in childhood*Historia personal de maltrato no especificado en la niñez
Z6282*0*Parent-child conflict*Conflicto entre padres e hijos
Z62820*1*Parent-biological child conflict*Conflicto padre-hijo biológico
Z62821*1*Parent-adopted child conflict*Conflicto padre-hijo adoptado
Z62822*1*Parent-foster child conflict*Conflicto entre padres e hijos adoptivos
Z6289*0*Other specified problems related to upbringing*Otros problemas específicos relacionados con la crianza
Z62890*1*Parent-child estrangement NEC*Separación entre padres e hijos NEC
Z62891*1*Sibling rivalry*La rivalidad entre hermanos
Z62898*1*Other specified problems related to upbringing*Otros problemas específicos relacionados con la crianza
Z629*1*Problem related to upbringing, unspecified*Problema relacionado con la crianza, no especificado
Z63*0*Oth prob rel to prim support group, inc family circumstances*Otros problemas relacionados con el grupo de apoyo primario, incluidas las circunstancias familiares
Z630*1*Problems in relationship with spouse or partner*Problemas en la relación con el cónyuge o pareja.
Z631*1*Problems in relationship with in-laws*Problemas en la relación con los suegros
Z633*0*Absence of family member*Ausencia de familiar
Z6331*1*Absence of family member due to military deployment*Ausencia de un familiar debido al despliegue militar
Z6332*1*Other absence of family member*Otra ausencia de un familiar
Z552*1*Failed school examinations*Exámenes escolares reprobados
Z634*1*Disappearance and death of family member*Desaparición y muerte de un familiar
Z635*1*Disruption of family by separation and divorce*Interrupción de la familia por separación y divorcio
Z636*1*Dependent relative needing care at home*Pariente dependiente que necesita cuidados en casa
Z637*0*Other stressful life events affecting family and household*Otros eventos estresantes de la vida que afectan a la familia y el hogar
Z6371*1*Stress on fam d/t return of family member from miltry deploy*Estrés en la familia debido al regreso de un familiar del despliegue militar
Z6372*1*Alcoholism and drug addiction in family*Alcoholismo y drogadicción en la familia
Z6379*1*Other stressful life events affecting family and household*Otros eventos estresantes de la vida que afectan a la familia y el hogar
Z638*1*Other specified problems related to primary support group*Otros problemas específicos relacionados con el grupo de apoyo primario
Z639*1*Problem related to primary support group, unspecified*Problema relacionado con el grupo de apoyo primario, no especificado
Z64*0*Problems related to certain psychosocial circumstances*Problemas relacionados con determinadas circunstancias psicosociales
Z640*1*Problems related to unwanted pregnancy*Problemas relacionados con el embarazo no deseado
Z641*1*Problems related to multiparity*Problemas relacionados con la multiparidad
Z644*1*Discord with counselors*Discordia con los consejeros
Z65*0*Problems related to other psychosocial circumstances*Problemas relacionados con otras circunstancias psicosociales
Z650*1*Conviction in civil & criminal proceedings w/o imprisonment*Condena en procesos civiles y penales sin prisión
Z651*1*Imprisonment and other incarceration*Encarcelamiento y otros encarcelamientos
Z652*1*Problems related to release from prison*Problemas relacionados con la liberación de la prisión
Z653*1*Problems related to other legal circumstances*Problemas relacionados con otras circunstancias legales
Z654*1*Victim of crime and terrorism*Víctima del crimen y el terrorismo
Z655*1*Exposure to disaster, war and other hostilities*Exposición a desastres, guerras y otras hostilidades
Z658*1*Oth problems related to psychosocial circumstances*Otros problemas específicos relacionados con circunstancias psicosociales
Z659*1*Problem related to unspecified psychosocial circumstances*Problema relacionado con circunstancias psicosociales no especificadas
Z66*1*Do not resuscitate*No resucitar
Z67*0*Blood type*Tipo de sangre
Z671*0*Type A blood*Sangre tipo A
Z6710*1*Type A blood, Rh positive*Sangre tipo A, Rh positivo
Z6711*1*Type A blood, Rh negative*Sangre tipo A, Rh negativo
Z672*0*Type B blood*Sangre tipo B
Z6720*1*Type B blood, Rh positive*Sangre tipo B, Rh positivo
Z6721*1*Type B blood, Rh negative*Sangre tipo B, Rh negativo
Z673*0*Type AB blood*Sangre tipo AB
Z6730*1*Type AB blood, Rh positive*Sangre tipo AB, Rh positivo
Z6731*1*Type AB blood, Rh negative*Sangre tipo AB, Rh negativo
Z674*0*Type O blood*Sangre tipo O
Z6740*1*Type O blood, Rh positive*Sangre tipo O, Rh positivo
Z6741*1*Type O blood, Rh negative*Sangre tipo O, Rh negativo
Z679*0*Unspecified blood type*Tipo de sangre no especificado
Z6790*1*Unspecified blood type, Rh positive*Tipo de sangre no especificado, Rh positivo
Z6791*1*Unspecified blood type, Rh negative*Tipo de sangre no especificado, Rh negativo
Z68*0*Body mass index [BMI]*Índice de masa corporal [IMC]
Z681*1*Body mass index (BMI) 19 or less, adult*Índice de masa corporal (IMC) 19 o menos, adulto
Z682*0*Body mass index (BMI) 20-29, adult*Índice de masa corporal (IMC) 20-29, adulto
Z6820*1*Body mass index (BMI) 20.0-20.9, adult*Índice de masa corporal (IMC) 20.0-20.9, adulto
Z6821*1*Body mass index (BMI) 21.0-21.9, adult*Índice de masa corporal (IMC) 21,0-21,9, adulto
Z6822*1*Body mass index (BMI) 22.0-22.9, adult*Índice de masa corporal (IMC) 22,0-22,9, adulto
Z6823*1*Body mass index (BMI) 23.0-23.9, adult*Índice de masa corporal (IMC) 23,0-23,9, adulto
Z6824*1*Body mass index (BMI) 24.0-24.9, adult*Índice de masa corporal (IMC) 24,0-24,9, adulto
Z6825*1*Body mass index (BMI) 25.0-25.9, adult*Índice de masa corporal (IMC) 25,0-25,9, adulto
Z6826*1*Body mass index (BMI) 26.0-26.9, adult*Índice de masa corporal (IMC) 26,0-26,9, adulto
Z6827*1*Body mass index (BMI) 27.0-27.9, adult*Índice de masa corporal (IMC) 27,0-27,9, adulto
Z6828*1*Body mass index (BMI) 28.0-28.9, adult*Índice de masa corporal (IMC) 28,0-28,9, adulto
Z6829*1*Body mass index (BMI) 29.0-29.9, adult*Índice de masa corporal (IMC) 29,0-29,9, adulto
Z683*0*Body mass index (BMI) 30-39, adult*Índice de masa corporal (IMC) 30-39, adulto
Z6830*1*Body mass index (BMI) 30.0-30.9, adult*Índice de masa corporal (IMC) 30,0-30,9, adulto
Z6831*1*Body mass index (BMI) 31.0-31.9, adult*Índice de masa corporal (IMC) 31,0-31,9, adulto
Z6832*1*Body mass index (BMI) 32.0-32.9, adult*Índice de masa corporal (IMC) 32,0-32,9, adulto
Z6833*1*Body mass index (BMI) 33.0-33.9, adult*Índice de masa corporal (IMC) 33,0-33,9, adulto
Z6834*1*Body mass index (BMI) 34.0-34.9, adult*Índice de masa corporal (IMC) 34,0-34,9, adulto
Z6835*1*Body mass index (BMI) 35.0-35.9, adult*Índice de masa corporal (IMC) 35,0-35,9, adulto
Z6836*1*Body mass index (BMI) 36.0-36.9, adult*Índice de masa corporal (IMC) 36,0-36,9, adulto
Z6837*1*Body mass index (BMI) 37.0-37.9, adult*Índice de masa corporal (IMC) 37,0-37,9, adulto
Z6838*1*Body mass index (BMI) 38.0-38.9, adult*Índice de masa corporal (IMC) 38.0-38.9, adulto
Z6839*1*Body mass index (BMI) 39.0-39.9, adult*Índice de masa corporal (IMC) 39,0-39,9, adulto
Z684*0*Body mass index (BMI) 40 or greater, adult*Índice de masa corporal (IMC) 40 o más, adulto
Z6841*1*Body mass index (BMI) 40.0-44.9, adult*Índice de masa corporal (IMC) 40,0-44,9, adulto
Z6842*1*Body mass index (BMI) 45.0-49.9, adult*Índice de masa corporal (IMC) 45,0-49,9, adulto
Z6843*1*Body mass index (BMI) 50-59.9 , adult*Índice de masa corporal (IMC) 50-59,9, adulto
Z6844*1*Body mass index (BMI) 60.0-69.9, adult*Índice de masa corporal (IMC) 60,0-69,9, adulto
Z6845*1*Body mass index (BMI) 70 or greater, adult*Índice de masa corporal (IMC) 70 o más, adulto
Z685*0*Body mass index (BMI) pediatric*Índice de masa corporal (IMC) pediátrico
Z6851*1*BMI pediatric, less than 5th percentile for age*Índice de masa corporal (IMC) pediátrico, inferior al percentil 5 para la edad
Z6852*1*BMI pediatric, 5th percentile to less than 85% for age*Índice de masa corporal (IMC) pediátrico, percentil 5 a menos del percentil 85 para la edad
Z6853*1*BMI pediatric, 85% to less than 95th percentile for age*Índice de masa corporal (IMC) pediátrico, percentil 85 a menos del percentil 95 para la edad
Z6854*1*BMI pediatric, greater than or equal to 95% for age*Índice de masa corporal (IMC) pediátrico, mayor o igual al percentil 95 para la edad
Z69*0*Encntr for mental health serv for victim and perp of abuse*Encuentro de servicios de salud mental para víctima y agresor
Z690*0*Encntr for mental health services for child abuse problems*Encuentro con servicios de salud mental para problemas de abuso infantil
Z6901*0*Encntr for mental health services for parental child abuse*Encuentro para servicios de salud mental por abuso infantil por parte de los padres
Z69010*1*Encntr for mental hlth serv for victim of prntl child abuse*Encuentro de servicios de salud mental para víctima de abuso infantil por parte de los padres
Z69011*1*Encntr for mental health serv for perp of prntl child abuse*Encuentro para los servicios de salud mental para el autor de abuso infantil por parte de los padres
Z6902*0*Encntr for mental health services for non-prntl child abuse*Encuentro para servicios de salud mental por maltrato infantil no parental
Z69020*1*Encntr for mntl hlth serv for vctm of non-prntl child abuse*Encuentro de servicios de salud mental para víctima de abuso infantil no parental
Z69021*1*Encntr for mntl hlth serv for perp of non-prntl child abuse*Encuentro para servicios de salud mental para perpetrador de abuso infantil no parental
Z691*0*Encntr for mental health serv for spous or prtnr abuse prob*Contacto para servicios de salud mental por problemas de abuso conyugal o de pareja
Z6911*1*Encntr for mntl hlth serv for victim of spous or prtnr abuse*Encuentro para servicios de salud mental para víctima de abuso conyugal o de pareja
Z6912*1*Encntr for mental hlth serv for perp of spous or prtnr abuse*Encuentro para servicios de salud mental para el perpetrador de abuso conyugal o de pareja
Z698*0*Encntr for mental health serv for victim or perp of abuse*Encuentro para servicios de salud mental para víctima o perpetrador de otro abuso
Z6981*1*Encounter for mental health services for victim of oth abuse*Encuentro para servicios de salud mental para víctima de otros abusos
Z6982*1*Encounter for mental health services for perp of abuse*Encuentro con servicios de salud mental para el autor de otros abusos
Z70*0*Counseling related to sexual attitude, behavior and orientn*Asesoramiento relacionado con la actitud, comportamiento y orientación sexual
